State;City;Population;;;;
New York;New York;8 491 079;;;;
California;Los Angeles;3 928 864;;;;
Illinois;Chicago;2 722 389;;;;
New York;Brooklyn;2 538 705;;;;
New York;Queens;2 277 251;;;;
Texas;Houston;2 239 558;;;;
New York;Manhattan;1 621 897;;;;
Pennsylvania;Philadelphia;1 560 297;;;;
Arizona;Phoenix;1 537 058;;;;
Texas;San Antonio;1 436 697;;;;
New York;Bronx;1 383 871;;;;
California;San Diego;1 381 069;;;;
Texas;Dallas;1 281 047;;;;
California;San Jose;1 015 785;;;;
California;East San Gabriel Valley;952 352;;;;
Texas;Austin;912 791;;;;
Florida;Jacksonville;853 382;;;;
California;San Francisco;852 469;;;;
Indiana;Indianapolis;848 788;;;;
Ohio;Columbus;835 957;;;;
Texas;Fort Worth;812 238;;;;
North Carolina;Charlotte;809 958;;;;
Michigan;Detroit;680 250;;;;
Texas;El Paso;679 036;;;;
Washington;Seattle;668 342;;;;
Colorado;Denver;663 862;;;;
DC;Washington, DC;658 893;;;;
Tennessee;Memphis;656 861;;;;
Massachusetts;Boston;655 884;;;;
Tennessee;Nashville-Davidson;644 014;;;;
Maryland;Baltimore;622 793;;;;
Tennessee;Metropolitan Government;620 916;;;;
Oklahoma;Oklahoma City;620 602;;;;
Oregon;Portland;619 360;;;;
Nevada;Las Vegas;613 599;;;;
Wisconsin;Milwaukee;599 642;;;;
New Mexico;Albuquerque;557 169;;;;
Arizona;Tucson;527 972;;;;
California;Fresno;515 986;;;;
Washington;East Seattle;512 735;;;;
California;Central Contra Costa;486 883;;;;
California;Sacramento;485 199;;;;
New York;Staten Island;481 026;;;;
California;Long Beach;473 577;;;;
Texas;Northeast Tarrant;472 730;;;;
Missouri;Kansas City;470 800;;;;
Arizona;Mesa;464 704;;;;
Texas;Northwest Harris;464 301;;;;
Georgia;Atlanta;456 002;;;;
Colorado;Northeast Jefferson;451 811;;;;
Virginia;Virginia Beach;450 980;;;;
Nebraska;Omaha;446 599;;;;
Colorado;Colorado Springs;445 830;;;;
North Carolina;Raleigh;439 896;;;;
Florida;Miami;430 332;;;;
California;Oakland;413 775;;;;
Minnesota;Minneapolis;407 207;;;;
Oklahoma;Tulsa;399 682;;;;
Ohio;Cleveland;389 521;;;;
Kansas;Wichita;388 413;;;;
Louisiana;New Orleans;384 320;;;;
Texas;Arlington;383 204;;;;
California;North Coast;376 527;;;;
Hawaii;Honolulu;374 701;;;;
California;Bakersfield;368 759;;;;
Florida;Tampa;358 699;;;;
Colorado;Aurora;353 108;;;;
Hawaii;Urban Honolulu;350 399;;;;
California;Anaheim;346 997;;;;
