#source: https://catalogue.data.govt.nz/dataset/marine-litter-2018-2019
SurveyArea,SurveyDate,SurveyId,Region,MonitoringSite,SurveyLengthMeters,AboveHighTideMeters,BelowHighTideMeters,SurveyStartDateTime,SurveyEndDateTime,TotalNumberOfCitizenScientists,AuditStartDateTime,AuditEndDateTime,NumberOfAuditors,LitterCategory,LitterItem,Count,Weight,WeightConfidence,Grade,SurveyAreaLatitudeStart,SurveyAreaLongitudeStart,SurveyAreaLatitudeEnd,SurveyAreaLongitudeEnd
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Resin pellets,1,0,N/A,B,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Glass & ceramic,Glass or ceramic fragments,170,1379,Low,N/A,-41.14591,173.00091,-41.14538,173.00188
"Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,""Toys, balls & party poppers"",2,577,Low,N/A,-41.14591,173.00091,-41.14538,173.00188"
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Food containers,15,132,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Glass & ceramic,Light globes/bulbs,2,21,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Other,Sanitary items,2,0,N/A,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Rubber,Condoms,1,0,N/A,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Metal,Unidentifiable metal fragments,208,3049,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Plastic bags,23,864,Low,N/A,-41.14591,173.00091,-41.14538,173.00188
"Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Rubber,""Balloons, tennis balls, footballs, dog toys etc"",2,1,High,N/A,-41.14591,173.00091,-41.14538,173.00188"
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Cable ties & zip ties,1,5,High,N/A,-41.14591,173.00091,-41.14538,173.00188
