count,mass
1.0,0.0
170.0,1379.0
2.0,577.0
15.0,132.0
2.0,21.0
2.0,0.0
1.0,0.0
208.0,3049.0
23.0,864.0
2.0,1.0
1.0,5.0
2.0,51.0
28.0,121.0
293.0,221.0
2.0,16.0
1.0,7.0
2.0,6.0
1.0,5.0
6.0,2281.0
10.0,3434.0
87.0,614.0
1.0,8750.0
1.0,8560.0
5.0,3548.0
2.0,3330.0
4.0,660.0
5.0,4531.0
14.0,2079.0
18.0,33994.0
30.0,830.0
37.0,10420.0
44.0,1338.0
1.0,21.0
1.0,12.0
3.0,47.0
14.0,233.0
4.0,25.0
1.0,8.0
1.0,11.0
3.0,459.0
1.0,0.0
1.0,14.0
1.0,0.0
2.0,0.0
2.0,0.0
1.0,2.0
1.0,0.0
20.0,3.0
5.0,1.0
4.0,0.0
7.0,2.0
4.0,9.0
7.0,64.0
27.0,4.0
15.0,0.0
1.0,0.0
2.0,4.0
1.0,0.0
1.0,1.0
2.0,175.0
2.0,22.0
2.0,680.0
1.0,0.0
10.0,30.0
2.0,377.0
4.0,19.0
1.0,743.0
2.0,1.0
4.0,92.0
2.0,2.0
3.0,6.0
1.0,2.0
1.0,2.0
1.0,10.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1855.0
1.0,0.0
5.0,1.0
3.0,1.0
1.0,13.0
2.0,4.0
1.0,1.0
3.0,4.0
1.0,18.0
1.0,1.0
2.0,2.0
1.0,6.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
6.0,24.0
1.0,13.0
13.0,18.0
1.0,5.0
1.0,0.0
1.0,0.0
1.0,3.0
1.0,5.0
1.0,4.0
2.0,33.0
3.0,19.0
2.0,26.0
2.0,14.0
5.0,0.0
5.0,6.0
4.0,11.0
1.0,3.0
1.0,1.0
2.0,16.0
1.0,0.0
1.0,1.0
1.0,2.0
2.0,3.0
7.0,34.0
2.0,8.0
6.0,12.0
1.0,27.0
1.0,90.0
1.0,129.0
2.0,3.0
1.0,136.0
5.0,775.0
16.0,9.0
1.0,3.0
1.0,119.0
7.0,1408.0
3.0,30.0
1.0,1.0
1.0,0.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,30.0
5.0,1.0
1.0,1.0
60.0,63.0
7.0,17.0
1.0,60.0
1.0,1.0
1.0,1.0
2.0,3.0
4.0,1.0
2.0,18.0
1.0,4.0
1.0,624.0
1.0,1.0
2.0,5.0
1.0,0.0
1.0,8770.0
2.0,30.0
3.0,78.0
6.0,2.0
1.0,4.0
2.0,60.0
1.0,2.0
1.0,2.0
3.0,68.0
1.0,17.0
1.0,181.0
6.0,4.0
1.0,1.0
1.0,5.0
1.0,1.0
1.0,0.0
2.0,970.0
1.0,1.0
1.0,1.0
1.0,4.0
1.0,1.0
1.0,7.0
10.0,1.0
14.0,26.0
1.0,146.0
1.0,0.0
15.0,1.0
1.0,1.0
1.0,0.0
3.0,70.0
3.0,128.0
1.0,0.0
1.0,5.0
2.0,13.0
1.0,8.0
1.0,20.0
2.0,5.0
1.0,1.0
2.0,26.0
1.0,1.0
2.0,3.0
1.0,1.0
4.0,2.0
3.0,1.0
17.0,5680.0
153.0,58.0
2.0,1.0
1.0,0.0
2.0,2.0
6.0,2.0
6.0,14.0
1.0,2.0
20.0,35.0
16.0,12.0
9.0,28.0
6.0,7.0
1469.0,817.0
150.0,56.0
1.0,8.0
4.0,16.0
1.0,8.0
1.0,3.0
18.0,8.0
50.0,23.0
6.0,8.0
21.0,49.0
128.0,127.0
2.0,1.0
3.0,3.0
1.0,0.0
11.0,1212.0
1.0,193.0
1.0,35.0
284.0,3862.0
3.0,16.0
5.0,802.0
27.0,17.0
4.0,1846.0
5.0,216.0
3.0,52.0
11.0,14.0
7.0,55.0
6.0,281.0
3.0,28.0
13.0,4530.0
1.0,15.0
8.0,50.0
7.0,528.0
147.0,114.0
1.0,4.0
2.0,6.0
10.0,150.0
1.0,0.0
42.0,82.0
12.0,27.0
2.0,27.0
3.0,4.0
4.0,88.0
53.0,25.0
52.0,22.0
2.0,3.0
8.0,10.0
17.0,7.0
305.0,126.0
35.0,12.0
266.0,244.0
75.0,211.0
8.0,0.0
1.0,39.0
3.0,57.0
4.0,12.0
2.0,1.0
3.0,11.0
4.0,4.0
4.0,4.0
1.0,20.0
3.0,8.0
21.0,75.0
8.0,1075.0
18.0,4.0
20.0,13.0
7.0,19.0
25.0,557.0
50.0,16.0
11.0,31.0
190.0,269.0
6.0,4.0
14.0,25.0
3.0,6.0
4.0,4.0
121.0,20.0
2.0,1.0
38.0,82.0
32.0,35.0
1.0,2.0
9.0,2.0
7.0,9.0
1.0,8.0
1.0,0.0
0.0,0.0
14.0,9.0
101.0,39.0
7.0,34.0
5.0,3.0
14.0,40.0
9.0,14.0
15.0,7.0
81.0,26.0
10.0,76.0
5.0,30.0
1.0,96.0
1.0,10.0
5.0,68.0
2.0,12.0
1.0,1.0
13.0,72.0
1.0,8.0
71.0,92.0
3.0,9.0
6.0,7.0
10.0,28.0
1.0,79.0
4.0,0.0
38.0,16.0
38.0,190.0
265.0,708.0
781.0,1182.0
110.0,90.0
10.0,7193.0
39.0,158.0
248.0,375.0
22.0,909.0
13.0,250.0
309.0,591.0
2.0,408.0
1.0,272.0
3.0,255.0
1.0,71.0
55.0,713.0
2.0,396.0
3.0,1644.0
20.0,341.0
14.0,63.0
22.0,51.0
5.0,75.0
12.0,23.0
5.0,49.0
1.0,106.0
1.0,5.0
2.0,1.0
1.0,7.0
1.0,3.0
14.0,1.0
2.0,1.0
1.0,0.0
3.0,9.0
1.0,0.0
2.0,18.0
28.0,88.0
22.0,153.0
12.0,23.0
16.0,15.0
7.0,26.0
1.0,101.0
1.0,3.0
3.0,1.0
1.0,5.0
32.0,60.0
146.0,269.0
7.0,2.0
12.0,24.0
4.0,6.0
9.0,10.0
3.0,22.0
5.0,13.0
9.0,10.0
21.0,234.0
7.0,143.0
2.0,6.0
1.0,0.0
5.0,6.0
1.0,1.0
24.0,11.0
31.0,7.0
11.0,20.0
3.0,2.0
1.0,3.0
28.0,23.0
2.0,1.0
3.0,0.0
14.0,8.0
3.0,51.0
12.0,216.0
1.0,15.0
1.0,2.0
4.0,9.0
3.0,2.0
1.0,2.0
2.0,17.0
1.0,125.0
29.0,6.0
8.0,0.0
125.0,236.0
1.0,2.0
4.0,16.0
3.0,28.0
2.0,349.0
2.0,152.0
3.0,17.0
14.0,94.0
2.0,136.0
3.0,15.0
1.0,18.0
3.0,2.0
2.0,30.0
1.0,68.0
1.0,12.0
7.0,25.0
1.0,5.0
